"Text","Type"
"radical","PROFANITY"
"radicals","PROFANITY"
"raghead","PROFANITY"
"randy","PROFANITY"
"rape","PROFANITY"
"raped","PROFANITY"
"raper","PROFANITY"
"rapist","PROFANITY"
"rearend","PROFANITY"
"rearentry","PROFANITY"
"rectum","PROFANITY"
"redlight","PROFANITY"
"redneck","PROFANITY"
"reefer","PROFANITY"
"reestie","PROFANITY"
"refugee","PROFANITY"
"reject","PROFANITY"
"remains","PROFANITY"
"rentafuck","PROFANITY"
"republican","PROFANITY"
"rere","PROFANITY"
"retard","PROFANITY"
"retarded","PROFANITY"
"ribbed","PROFANITY"
"rigger","PROFANITY"
"rimjob","PROFANITY"
"rimming","PROFANITY"
"roach","PROFANITY"
"robber","PROFANITY"
"roundeye","PROFANITY"
"rump","PROFANITY"
"russki","PROFANITY"
"russkie","PROFANITY"
"sadis","PROFANITY"
"sadom","PROFANITY"
"samckdaddy","PROFANITY"
"sandm","PROFANITY"
"sandnigger","PROFANITY"
"satan","PROFANITY"
"scag","PROFANITY"
"scallywag","PROFANITY"
"scat","PROFANITY"
"schlong","PROFANITY"
"screw","PROFANITY"
"screwyou","PROFANITY"
"scrotum","PROFANITY"
"scum","PROFANITY"
"semen","PROFANITY"
"seppo","PROFANITY"
"servant","PROFANITY"
"sex","PROFANITY"
"sexed","PROFANITY"
"sexfarm","PROFANITY"
"sexhound","PROFANITY"
"sexhouse","PROFANITY"
"sexing","PROFANITY"
"sexkitten","PROFANITY"
"sexpot","PROFANITY"
"sexslave","PROFANITY"
"sextogo","PROFANITY"
"sextoy","PROFANITY"
"sextoys","PROFANITY"
"sexual","PROFANITY"
"sexually","PROFANITY"
"sexwhore","PROFANITY"
"sexy","PROFANITY"
"sexymoma","PROFANITY"
"sexy-slim","PROFANITY"
"shag","PROFANITY"
"shaggin","PROFANITY"
"shagging","PROFANITY"
"shat","PROFANITY"
"shav","PROFANITY"
"shawtypimp","PROFANITY"
"sheeney","PROFANITY"
"shhit","PROFANITY"
"shinola","PROFANITY"
"shit","PROFANITY"
"shitcan","PROFANITY"
"shitdick","PROFANITY"
"shite","PROFANITY"
"shiteater","PROFANITY"
"shited","PROFANITY"
"shitface","PROFANITY"
"shitfaced","PROFANITY"
"shitfit","PROFANITY"
"shitforbrains","PROFANITY"
"shitfuck","PROFANITY"
"shitfucker","PROFANITY"
"shitfull","PROFANITY"
"shithapens","PROFANITY"
"shithappens","PROFANITY"
"shithead","PROFANITY"
"shithouse","PROFANITY"
"shiting","PROFANITY"
"shitlist","PROFANITY"
"shitola","PROFANITY"
"shitoutofluck","PROFANITY"
"shits","PROFANITY"
"shitstain","PROFANITY"
"shitted","PROFANITY"
"shitter","PROFANITY"
"shitting","PROFANITY"
"shitty ","PROFANITY"
"shoot","PROFANITY"
"shooting","PROFANITY"
"shortfuck","PROFANITY"
"showtime","PROFANITY"
"sick","PROFANITY"
"sissy","PROFANITY"
"sixsixsix","PROFANITY"
"sixtynine","PROFANITY"
"sixtyniner","PROFANITY"
"skank","PROFANITY"
"skankbitch","PROFANITY"
"skankfuck","PROFANITY"
"skankwhore","PROFANITY"
"skanky","PROFANITY"
"skankybitch","PROFANITY"
"skankywhore","PROFANITY"
"skinflute","PROFANITY"
"skum","PROFANITY"
"skumbag","PROFANITY"
"slant","PROFANITY"
"slanteye","PROFANITY"
"slapper","PROFANITY"
"slaughter","PROFANITY"
"slav","PROFANITY"
"slave","PROFANITY"
"slavedriver","PROFANITY"
"sleezebag","PROFANITY"
"sleezeball","PROFANITY"
"slideitin","PROFANITY"
"slime","PROFANITY"
"slimeball","PROFANITY"
"slimebucket","PROFANITY"
"slopehead","PROFANITY"
"slopey","PROFANITY"
"slopy","PROFANITY"
"slut","PROFANITY"
"sluts","PROFANITY"
"slutt","PROFANITY"
"slutting","PROFANITY"
"slutty","PROFANITY"
"slutwear","PROFANITY"
"slutwhore","PROFANITY"
"smack","PROFANITY"
"smackthemonkey","PROFANITY"
"smut","PROFANITY"
"snatch","PROFANITY"
"snatchpatch","PROFANITY"
"snigger","PROFANITY"
"sniggered","PROFANITY"
"sniggering","PROFANITY"
"sniggers","PROFANITY"
"snigger's","PROFANITY"
"sniper","PROFANITY"
"snot","PROFANITY"
"snowback","PROFANITY"
"snownigger","PROFANITY"
"sob","PROFANITY"
"sodom","PROFANITY"
"sodomise","PROFANITY"
"sodomite","PROFANITY"
"sodomize","PROFANITY"
"sodomy","PROFANITY"
"sonofabitch","PROFANITY"
"sonofbitch","PROFANITY"
"sooty","PROFANITY"
"sos","PROFANITY"
"soviet","PROFANITY"
"spaghettibender","PROFANITY"
"spaghettinigger","PROFANITY"
"spank","PROFANITY"
"spankthemonkey","PROFANITY"
"sperm","PROFANITY"
"spermacide","PROFANITY"
"spermbag","PROFANITY"
"spermhearder","PROFANITY"
"spermherder","PROFANITY"
"spic","PROFANITY"
"spick","PROFANITY"
"spig","PROFANITY"
"spigotty","PROFANITY"
"spik","PROFANITY"
"spit","PROFANITY"
"spitter","PROFANITY"
"splittail","PROFANITY"
"spooge","PROFANITY"
"spreadeagle","PROFANITY"
"spunk","PROFANITY"
"spunky","PROFANITY"
"squaw","PROFANITY"
"stagg","PROFANITY"
"stiffy","PROFANITY"
"strapon","PROFANITY"
"stringer","PROFANITY"
"stripclub","PROFANITY"
"stroke","PROFANITY"
"stroking","PROFANITY"
"stupid","PROFANITY"
"stupidfuck","PROFANITY"
"stupidfucker","PROFANITY"
"suck","PROFANITY"
"suckdick","PROFANITY"
"sucker","PROFANITY"
"suckme","PROFANITY"
"suckmyass","PROFANITY"
"suckmydick","PROFANITY"
"suckmytit","PROFANITY"
"suckoff","PROFANITY"
"suicide","PROFANITY"
"swallow","PROFANITY"
"swallower","PROFANITY"
"swalow","PROFANITY"
"swastika","PROFANITY"
"sweetness","PROFANITY"
"syphilis","PROFANITY"
"taboo","PROFANITY"
"taff","PROFANITY"
"tampon","PROFANITY"
"tang","PROFANITY"
"tantra","PROFANITY"
"tarbaby","PROFANITY"
"tard","PROFANITY"
"teat","PROFANITY"
"terror","PROFANITY"
"terrorist","PROFANITY"
"teste","PROFANITY"
"testicle","PROFANITY"
"testicles","PROFANITY"
"thicklips","PROFANITY"
"thirdeye","PROFANITY"
"thirdleg","PROFANITY"
"threesome","PROFANITY"
"threeway","PROFANITY"
"timbernigger","PROFANITY"
"tinkle","PROFANITY"
"tit","PROFANITY"
"titbitnipply","PROFANITY"
"titfuck","PROFANITY"
"titfucker","PROFANITY"
"titfuckin","PROFANITY"
"titjob","PROFANITY"
"titlicker","PROFANITY"
"titlover","PROFANITY"
"tits","PROFANITY"
"tittie","PROFANITY"
"titties","PROFANITY"
"titty","PROFANITY"
"tnt","PROFANITY"
"toilet","PROFANITY"
"tongethruster","PROFANITY"
"tongue","PROFANITY"
"tonguethrust","PROFANITY"
"tonguetramp","PROFANITY"
"tortur","PROFANITY"
"torture","PROFANITY"
"tosser","PROFANITY"
"towelhead","PROFANITY"
"trailertrash","PROFANITY"
"tramp","PROFANITY"
"trannie","PROFANITY"
"tranny","PROFANITY"
"transexual","PROFANITY"
"transsexual","PROFANITY"
"transvestite","PROFANITY"
"triplex","PROFANITY"
"trisexual","PROFANITY"
"trojan","PROFANITY"
"trots","PROFANITY"
"tuckahoe","PROFANITY"
"tunneloflove","PROFANITY"
"turd","PROFANITY"
"turnon","PROFANITY"
"twat","PROFANITY"
"twink","PROFANITY"
"twinkie","PROFANITY"
"twobitwhore","PROFANITY"
"uck","PROFANITY"
"uk","PROFANITY"
"unfuckable","PROFANITY"
"upskirt","PROFANITY"
"uptheass","PROFANITY"
"upthebutt","PROFANITY"
"urinary","PROFANITY"
"urinate","PROFANITY"
"urine","PROFANITY"
"usama","PROFANITY"
"uterus","PROFANITY"
"vagina","PROFANITY"
"vaginal","PROFANITY"
"vatican","PROFANITY"
"vibr","PROFANITY"
"vibrater","PROFANITY"
"vibrator","PROFANITY"
"vietcong","PROFANITY"
"violence","PROFANITY"
"virgin","PROFANITY"
"virginbreaker","PROFANITY"
"vomit","PROFANITY"
"vulva","PROFANITY"
"wab","PROFANITY"
"wank","PROFANITY"
"wanker","PROFANITY"
"wanking","PROFANITY"
"waysted","PROFANITY"
"weapon","PROFANITY"
"weenie","PROFANITY"
"weewee","PROFANITY"
"welcher","PROFANITY"
"welfare","PROFANITY"
"wetb","PROFANITY"
"wetback","PROFANITY"
"wetspot","PROFANITY"
"whacker","PROFANITY"
"whash","PROFANITY"
"whigger","PROFANITY"
"whiskey","PROFANITY"
"whiskeydick","PROFANITY"
"whiskydick","PROFANITY"
"whit","PROFANITY"
"whitenigger","PROFANITY"
"whites","PROFANITY"
"whitetrash","PROFANITY"
"whitey","PROFANITY"
"whiz","PROFANITY"
"whop","PROFANITY"
"whore","PROFANITY"
"whorefucker","PROFANITY"
"whorehouse","PROFANITY"
"wigger","PROFANITY"
"willie","PROFANITY"
"williewanker","PROFANITY"
"willy","PROFANITY"
"wn","PROFANITY"
"wog","PROFANITY"
"women's","PROFANITY"
"wop","PROFANITY"
"wtf","PROFANITY"
"wuss","PROFANITY"
"wuzzie","PROFANITY"
"xtc","PROFANITY"
"xxx","PROFANITY"
"yankee","PROFANITY"
"yellowman","PROFANITY"
"zigabo","PROFANITY"
"zipperhead","PROFANITY"
